dataset,DOI,AuthorYear,Publication.Year,globalCitationsCount,location,SDG_theme,classification_type,model_group,ancillary,indices,RS_device_type,RS_devices,RS_device_group,RS_spectral_bands_no,RS_spatital_resolution_m,Confusion_matrix,OA_reported,number_classes,fraction_majority_class,total,no_band_group,RS_spatital_res_grouped,esid,event
nina_2024,10.1016/j.scib.2023.05.004,Jia et al. 2023,2023,68,Global,SDG15: Life on Land,Object-level,Tree-Based Models,Remote Sensing Only,Used,Passive,satellite,Sentinel,10,10,Not Reported,0.952,2,0.735145887,81947,Mid,10-30 metres,1,78013.544
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,4,India,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Not Used,Active,satellite,Other,1,Not Reported,Reported,0.6504,5,0.280734896,59818,Low,Not Reported,1,38905.6272
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,4,India,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Not Used,Active,satellite,Other,1,Not Reported,Reported,0.7056,5,0.488933097,59818,Low,Not Reported,2,42207.5808
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,4,India,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Not Used,Active,satellite,Other,1,Not Reported,Reported,0.6883,5,0.264903541,59818,Low,Not Reported,3,41172.7294
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,4,India,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Not Used,Active,satellite,Other,1,Not Reported,Reported,0.7014,5,0.278227289,59818,Low,Not Reported,4,41956.3452
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,4,India,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Not Used,Active,satellite,Other,1,Not Reported,Reported,0.673,5,0.280734896,59818,Low,Not Reported,5,40257.514
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,4,India,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Not Used,Active,satellite,Other,1,Not Reported,Reported,0.7072,5,0.298070815,59818,Low,Not Reported,6,42303.2896
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,4,India,SDG15: Life on Land,Pixel-level,Tree-Based Models,Remote Sensing Only,Not Used,Active,satellite,Other,1,Not Reported,Reported,0.7005,5,0.293456819,59818,Low,Not Reported,7,41902.509
nina_2024,10.1016/j.rse.2023.113793,Wang et al. 2023,2023,12,East Asia,SDG15: Life on Land,Object-level,Tree-Based Models,Ancillary Data Included,Used,Combined,satellite,Sentinel,Not Reported,10,Not Reported,0.8874,13,0.710651143,41742,Not Reported,10-30 metres,1,37041.8508
nina_2024,10.1016/j.ejrs.2023.05.003,Al-Dousari et al. 2023,2023,11,Kuwait,SDG11: Sustainable Cities,Object-level,Tree-Based Models,Remote Sensing Only,Not Used,Passive,satellite,Sentinel,13,Not Reported,Not Reported,0.936,4,0.47,862,Mid,Not Reported,1,806.832
