"","effectsizeID","AuthorYear","SDG_theme","ancillary","classification_type","indices","RS_spatital_resolution_m","model_group","Confusion_matrix","RS_device_group","RS_device_type","DOI","Publication.Year","number_classes","fraction_majority_class","total","OA_reported","globalCitationsCount","RS_spatital_res_grouped","esid","studyID","event"
"44",44,"Peng et al. 2022","SDG 2: Zero Hunger","0","Unclear","1","10","Tree-Based Models","0","Sentinel","Passive","10.1016/j.marpolbul.2022.113901",2022,2,0.619047619047619,882,0.83,21,"10",1,12,732.06
"45",45,"Solórzano et al. 2023","SDG 15: Life on Land","0","Pixel-level","1","10","Neural Networks","1","Sentinel","Passive","10.1016/j.isprsjprs.2023.03.017",2023,3,0.987555679009885,3211264,0.99,8,"10",1,16,3179151.36
"46",46,"Solórzano et al. 2023","SDG 15: Life on Land","0","Pixel-level","1","10","Neural Networks","1","Sentinel","Passive","10.1016/j.isprsjprs.2023.03.017",2023,3,0.987555679009885,3211264,0.98,8,"10",2,16,3147038.72
"47",47,"Solórzano et al. 2023","SDG 15: Life on Land","0","Pixel-level","1","10","Neural Networks","1","Sentinel","Combined","10.1016/j.isprsjprs.2023.03.017",2023,3,0.987555679009885,3211264,0.99,8,"10",3,16,3179151.36
"48",48,"Solórzano et al. 2023","SDG 15: Life on Land","0","Pixel-level","1","10","Other","1","Sentinel","Combined","10.1016/j.isprsjprs.2023.03.017",2023,3,0.987555679009885,3211264,0.95,8,"10",4,16,3050700.8
"49",49,"Solórzano et al. 2023","SDG 15: Life on Land","0","Pixel-level","1","10","Other","1","Sentinel","Passive","10.1016/j.isprsjprs.2023.03.017",2023,3,0.987555679009885,3211264,0.95,8,"10",5,16,3050700.8
"50",50,"Solórzano et al. 2023","SDG 15: Life on Land","0","Object-level","1","10","Neural Networks","1","Sentinel","Passive","10.1016/j.isprsjprs.2023.03.017",2023,3,0.75,404,0.97,8,"10",6,16,391.88
"51",51,"Suryono et al. 2022","SDG 2: Zero Hunger","0","Object-level","1","15","Tree-Based Models","1","Landsat","Passive","10.1016/j.procs.2021.12.201",2022,6,0.312741312741313,259,0.8146,10,"15-25",1,17,210.9814
"52",52,"Shen et al. 2023","SDG 15: Life on Land","0","Object-level","0","0.5","Neural Networks","0","Other","Passive","10.1016/j.iswcr.2023.11.004",2023,2,0.86,75782016,0.8534,NA,">1",1,15,64672372.4544
"53",53,"Shen et al. 2023","SDG 15: Life on Land","0","Object-level","0","0.2","Neural Networks","0","Other","Passive","10.1016/j.iswcr.2023.11.004",2023,2,0.86,75782016,0.9274,NA,">1",2,15,70280241.6384
"54",54,"Shen et al. 2023","SDG 15: Life on Land","0","Object-level","0","0.2","Neural Networks","0","Other","Passive","10.1016/j.iswcr.2023.11.004",2023,2,0.86,75782016,0.9572,NA,">1",3,15,72538545.7152
"55",55,"Shen et al. 2023","SDG 15: Life on Land","0","Object-level","0","0.2","Neural Networks","0","Other","Passive","10.1016/j.iswcr.2023.11.004",2023,2,0.86,75782016,0.9631,NA,">1",4,15,72985659.6096
"56",56,"Shen et al. 2023","SDG 15: Life on Land","0","Object-level","0","0.2","Neural Networks","0","Other","Passive","10.1016/j.iswcr.2023.11.004",2023,2,0.86,75782016,0.9509,NA,">1",5,15,72061119.0144
"57",57,"Shen et al. 2023","SDG 15: Life on Land","0","Object-level","0","0.2","Neural Networks","0","Other","Passive","10.1016/j.iswcr.2023.11.004",2023,2,0.86,75782016,0.9613,NA,">1",6,15,72849251.9808
"58",58,"Shen et al. 2023","SDG 15: Life on Land","0","Object-level","0","0.2","Neural Networks","0","Other","Passive","10.1016/j.iswcr.2023.11.004",2023,2,0.86,75782016,0.9765,NA,">1",7,15,74001138.624
"59",59,"Owers et al. 2022","SDG 15: Life on Land","0","Object-level","1","25","Tree-Based Models","1","Landsat","Passive","10.1080/17538947.2022.2130461",2022,6,0.608673425918037,11737,0.8,3,"15-25",1,10,9389.6
"60",60,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.987459807073955,3110,0.9996,10,"Not Reported",1,9,3108.756
"61",61,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.990353697749196,3110,0.9955,10,"Not Reported",2,9,3096.005
"62",62,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.993247588424437,3110,0.97556270096463,10,"Not Reported",3,9,3034
